Industry,Category,Keyword,Count,NUM WORDS IN INDUSTRY,Normalized Word Count (Percent of Total Words in Industry)
Human Resources,ENVIRONMENTAL ISSUES,environmental,32,397168,0.0000805704387060388
Human Resources,ENVIRONMENTAL ISSUES,biodiversity,0,397168,0
Human Resources,ENVIRONMENTAL ISSUES,climate change,0,397168,0
Human Resources,ENVIRONMENTAL ISSUES,climate goal,0,397168,0
Human Resources,ENVIRONMENTAL ISSUES,emission,2,397168,0.00000503565241912742
Human Resources,ENVIRONMENTAL ISSUES,sustainable,1,397168,0.00000251782620956371
Human Resources,ENVIRONMENTAL ISSUES,greenhouse gas,0,397168,0
Human Resources,ENVIRONMENTAL ISSUES,water resource,0,397168,0
Human Resources,ENVIRONMENTAL ISSUES,marine resource,0,397168,0
Human Resources,ENVIRONMENTAL ISSUES,natural resource,0,397168,0
Human Resources,ENVIRONMENTAL ISSUES,pollution,0,397168,0
Human Resources,ENVIRONMENTAL ISSUES,pollutant,0,397168,0
Human Resources,ENVIRONMENTAL ISSUES,pollute,0,397168,0
Human Resources,ENVIRONMENTAL ISSUES,ecosystem,2,397168,0.00000503565241912742
Human Resources,ENVIRONMENTAL ISSUES,carbon,1,397168,0.00000251782620956371
Human Resources,ENVIRONMENTAL ISSUES,waste management,0,397168,0
Human Resources,SOCIAL ISSUES,DEI,0,397168,0
Human Resources,SOCIAL ISSUES,"diversity, equity and inclusion",0,397168,0
Human Resources,SOCIAL ISSUES,diversity,15,397168,0.0000377673931434557
Human Resources,SOCIAL ISSUES,forced labor,0,397168,0
Human Resources,SOCIAL ISSUES,human right,0,397168,0
Human Resources,SOCIAL ISSUES,right to,66,397168,0.000166176529831205
Human Resources,SOCIAL ISSUES,community impact,0,397168,0
Human Resources,SOCIAL ISSUES,Equal pay,0,397168,0
Human Resources,SOCIAL ISSUES,discrimination,7,397168,0.000017624783466946
Human Resources,SOCIAL ISSUES,harassment,1,397168,0.00000251782620956371
Human Resources,SOCIAL ISSUES,sexual harassment,0,397168,0
Human Resources,SOCIAL ISSUES,racial harassment,0,397168,0
Human Resources,SOCIAL ISSUES,wage,3,397168,0.00000755347862869113
Human Resources,SOCIAL ISSUES,labor condition,0,397168,0
Human Resources,SOCIAL ISSUES,child labor,0,397168,0
Human Resources,SOCIAL ISSUES,working condition,0,397168,0
Human Resources,SOCIAL ISSUES,employee relation,0,397168,0
Human Resources,CORPORATE GOVERNANCE,governance,0,397168,0
